laser convert, process measure, 
1.05762,13.6991,
1.09468,13.4189,
1.10976,13.5942,
0.792535,13.4835,
0.82401,13.7029,
1.10936,13.4429,
0.774423,13.3362,
0.780062,13.3938,
1.08856,13.4624,
0.752629,13.1465,
0.751846,13.2931,
1.08278,12.9471,
0.794543,13.0503,
0.802259,13.1375,
1.08134,12.9421,
0.738381,12.8781,
0.754772,12.6492,
1.08425,13.032,
0.784603,12.9009,
0.784381,13.0845,
1.12003,13.0015,
0.760859,12.8185,
0.779691,12.6379,
1.09756,12.345,
0.773051,13.0229,
0.750454,13.3037,
1.10257,13.3839,
0.77873,13.435,
0.780631,13.3892,
1.07784,13.277,
0.779141,13.3274,
0.774001,13.1803,
1.06965,12.9399,
1.09289,13.1239,
0.734109,13.0644,
1.122,12.8224,
0.842015,12.6193,
0.783152,13.1865,
1.07594,13.3271,
0.877151,13.1965,
0.868779,13.5228,
1.15092,13.1455,
0.831312,12.7913,
0.829216,13.3469,
1.07593,13.056,
0.815724,12.8315,
0.82778,13.0226,
1.05473,12.8544,
0.805456,12.6169,
0.826836,12.7846,
1.09503,12.5186,
0.798403,12.4289,
0.801998,12.5971,
1.13471,12.2686,
0.779686,12.194,
1.06667,12.6085,
0.786159,12.4277,
1.03825,12.1769,
1.07025,12.4646,
1.0937,12.2008,
0.761599,11.922,
0.780606,12.3065,
1.00424,12.2714,
0.845859,12.2105,
0.847744,12.8748,
1.07737,12.2202,
1.13305,12.4955,
1.1433,12.2962,
0.769384,11.9188,
1.03121,12.2977,
0.826738,13.0138,
1.10567,13.0522,
0.837691,12.8008,
0.796366,13.3588,
1.05526,13.0912,
0.808248,12.9651,
0.804971,14.2654,
1.4578,13.7254,
0.900321,13.0301,
0.852631,12.7495,
1.08031,12.9442,
0.850842,12.9188,
0.871754,12.9671,
1.11106,12.9698,
0.856212,12.784,
0.877948,12.9769,
0.870818,13.0646,
0.916172,12.8416,
0.983127,13.0129,
1.14111,12.92,
0.922916,13.2977,
0.935709,13.3879,
1.14837,12.8437,
0.91273,12.5126,
0.898761,12.3845,
1.12606,12.5559,
0.915018,12.295,
0.947209,12.6305,
1.13287,12.5245,
0.925266,13.7126,
0.91949,13.5202,
1.13719,13.638,
0.804554,13.8656,
0.93474,13.736,
1.14316,13.7671,
0.886535,13.4917,
0.966737,13.766,
1.13691,13.8214,
0.819424,13.7397,
0.902892,13.4699,
1.09416,14.1909,
0.744336,14.0296,
0.923707,14.005,
1.12965,14.6351,
0.878396,14.1581,
0.934324,14.0628,
1.02564,13.8645,
0.786095,13.697,
0.764764,13.4072,
0.879792,13.7124,
0.833738,13.4996,
0.772727,13.5083,
1.16221,17.1393,
0.846221,13.5275,
0.827098,13.4521,
1.04117,12.3541,
0.82212,12.557,
0.843674,12.6887,
1.10322,12.5923,
0.803068,12.3971,
0.813613,12.6049,
1.1964,12.417,
0.818266,12.5685,
0.840022,12.3998,
1.11188,12.4483,
0.787023,12.4289,
0.802412,12.6218,
1.11203,12.8049,
0.874041,12.4505,
